County Name,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
FRANKLIN,154943.03,245336,252070,188768.3125,189190.5593,183273.7194,188266.4009,191041.3105,193134.1352,192201.847,200769.1928,204766.113,198846.8302,202788.3302
GADSDEN,539408.02,644344,662030,718900.4277,780756.0325,826879.739,908840.0911,992167.1898,1002474.936,997077.5829,1040939.239,1061068.214,1029818.768,1049643.935
GILCHRIST,165401.84,210288,216060,219336.1496,237467.5796,254833.185,278795.8131,306145.7091,311379.2016,311758.1326,327632.504,336184.4856,328448.9871,336993.7816
GLADES,129457.26,148280,152350,145323.3865,129915.3074,107378.3747,87589.15776,62707.59191,57371.51457,51670.09663,48845.3506,45084.64825,39621.75542,36568.10379
GULF,211358.23,204896,210520,248592.1063,241233.2616,225404.173,214499.2208,203359.1745,203276.8041,200022.405,206590.556,208335.7407,200039.9191,201712.7083
HAMILTON,194753.61,202200,207750,248522.6586,261833.2569,268088.171,281328.4663,296753.2559,299217.2456,296991.8392,309416.4576,314748.5954,304848.2907,310075.4829
HARDEE,303486.07,296560,304700,418587.6834,466915.5882,492979.756,551411.2893,602834.9718,601649.1778,591091.8662,609547.6169,613736.2695,588376.7641,592369.8398
HENDRY,447616.7,439448,451510,636600.9722,736272.0342,821480.53,951712.7054,1092894.773,1119011.534,1127866.102,1193222.747,1232556.967,1212249.603,1252105.148
HERNANDO,1638496.78,2323952,2387740,2147614.857,2342404.847,2441802.651,2720220.685,3010259.093,3091704.637,3125783.429,3317116.85,3437036.573,3390838.528,3513126.32
HIGHLANDS,1099439.56,1261728,1296360,1397629.364,1470527.966,1501336.028,1622977.723,1747402.322,1787820.514,1800618.429,1903533.237,1964810.792,1930992.46,1992985.422
HILLSBOROUGH,15710052.04,18745288,19259810,19659877.69,20392911.91,20385143.64,21520156.27,22633306.01,23009002.62,23025780.42,24186438.52,24805671.24,24223094.15,24841164.56
HOLMES,227896.37,272296,279770,298547.8153,316623.1677,324746.676,358931.6646,385302.8545,387699.1246,384020.2987,399258.8401,405299.8074,391739.9167,397633.4917
INDIAN RIVER,872811.12,1070312,1099690,1187548.842,1362947.922,1491992.28,1646677.147,1869363.431,1926566.668,1954524.454,2081321.516,2164007.372,2142288.078,2227207.635
JACKSON,543819.91,590424,606630,707926.3882,751063.3004,781526.2061,834648.625,889566.5922,893655.8952,883749.033,917336.2959,929714.7052,897161.0193,909190.2967
JEFFERSON,188477.91,223768,229910,227738.8613,228467.5076,220494.0567,219715.4513,219516.5375,221290.9056,219597.1276,228734.0096,232624.9688,225258.6544,229071.1225
LAFAYETTE,35539.56,37744,38780,56338.97255,70802.51524,83798.11211,99224.22781,116928.0016,119145.3263,119509.4538,125825.4555,129346.9694,126602.8775,130135.144
LAKE,3357970.93,4111400,4224250,4159001.712,4285166.912,4240281.549,4456084.55,4667387.086,4761898.496,4782480.57,5041587.32,5189229.399,5085551.058,5234037.969
LEE,6032776.18,6772352,6958240,7697879.309,8116709.316,8323957.895,8895098.005,9517136.527,9679380.125,9690709.14,10183675.93,10449008.43,10208105.76,10473189.06
LEON,2044341.77,2504584,2573330,2608003.95,2762175.781,2839338.099,3036825.506,3265028.92,3332043.719,3347349.938,3529657.3,3634004.514,3562361.238,3667365.132
LEVY,571519.96,690176,709120,701038.2138,709849.0224,705565.4403,730679.8573,758776.1388,774593.8959,778397.159,821049.636,845588.5248,829179.0508,853888.6924
LIBERTY,106703.32,134800,138500,129610.8812,129119.3085,125631.747,127579.9742,128500.8091,129656.7173,128780.7495,134260.3804,136667.829,132459.8597,134823.6209
MADISON,227838.83,231856,238220,298075.4828,319231.589,325218.5248,350116.4286,371031.249,370422.8017,364042.1771,375531.7772,378236.2761,362726.4608,365307.8448
MANATEE,3747332.51,4375608,4495710,4541040.591,4516494.718,4349527.055,4341073.567,4296722.963,4296510.849,4229229.37,4369659.185,4408140.089,4234116.304,4271042.366
MARION,3840088.7,4394480,4515100,4889100.034,5149141.374,5226210.022,5639990.507,6038529.497,6151313.872,6168383.26,6492557.598,6672395.323,6529009.494,6709289.504
MARTIN,1024759.53,951688,977810,1262519.62,1310178.633,1315687.436,1367210.784,1451237.283,1498134.063,1522403.231,1623864.225,1691185.429,1676997.114,1746373.38
MONROE,711204.26,706352,725740,826377.713,799528.923,754187.2099,709209.3263,681010.7463,693818.1211,695831.49,732493.0664,752877.7358,736792.1044,757232.3739
NASSAU,577586.49,647040,664800,731009.3052,765937.0189,788462.4269,838253.6887,898830.0765,919473.8575,925908.2258,978672.7538,1010016.689,992474.0842,1024173.421
OKALOOSA,1428710.38,1528632,1570590,1823465.261,1943615.596,2031512.949,2179425.197,2381100.527,2455241.85,2492169.589,2655228.525,2762152.896,2735855.133,2845785.621
OKEECHOBEE,515944.18,633560,650950,667360.4434,717705.7135,750977.8199,807847.927,879286.3989,898621.5504,904045.0456,954650.2932,984283.1424,966263.0148,996172.0835
ORANGE,15165670.01,18014672,18509140,18767438,19457701.42,19373018.61,20293696.55,21410847.96,21957696.79,22166976.79,23489141.73,24302409.09,23940382.16,24767178.33
OSCEOLA,3395738.95,4348648,4468010,4665683.239,5342561.284,5790843.23,6863502.319,7985657.032,8343395.449,8581076.407,9263640.84,9764345.666,9799505.36,10328300.5
PALM BEACH,13620800.76,15903704,16340230,16572852.56,16953070.33,16991428.85,17299085.97,18150801.72,18756989.69,19080828.76,20373813.53,21240704.49,21084586.07,21979861.07
PASCO,5133838.71,6448832,6625840,6371617.557,6544849.711,6564671.222,6992717.052,7424430.914,7629432.322,7717702.727,8194545.414,8495387.314,8385733.831,8692859.58
PINELLAS,14194891.14,17914920,18406650,16253260.54,15278720.71,13770941.41,12853072.61,11764311.85,11847775.17,11745563.23,12222270.43,12417993.48,12012974.05,12204313.39
POLK,7832467.66,9821528,10091110,9893918.04,10416886.73,10654709.55,11810604.44,13006365.07,13550334.13,13896672.9,14959348,15723020.91,15734715.39,16536572.23
PUTNAM,1160748.96,1124232,1155090,1469705.227,1530671.062,1557136.949,1653444.28,1751152.479,1776405.762,1773891.897,1859315.653,1902832.665,1854161.86,1897397.787
SAINT JOHNS,1017424.44,1237464,1271430,1292704.571,1358398.503,1403899.997,1479045.136,1579077.58,1607442.839,1610773.129,1694237.198,1739945.103,1701360.918,1747113.259
SAINT LUCIE,2586003.37,3113880,3199350,3408984.088,3791970.729,4088172.814,4499981.004,5080766.208,5279070.696,5399487.147,5796803.037,6076396.064,6064614.164,6356586.761
SANTA ROSA,1858770.83,1245552,1279740,2161853.853,2102441.949,1992265.103,1947977.637,1941502.901,2017219.429,2063169.969,2214919.119,2321679.321,2317107.415,2428587.76
SARASOTA,2396882.14,3316080,3407100,3087443.711,3210707.106,3245359.606,3393159.79,3490201.308,3443335.37,3344066.748,3408878.717,3392889.06,3215343.244,3199990.763
SEMINOLE,3477111.67,4691040,4819800,4274239.066,4366341.48,4323757.191,4489621.134,4676051.304,4776264.013,4802464.344,5068517.756,5222991.179,5124567.113,5280302.204
SUMTER,606111.27,587728,603860,755743.501,783383.2362,774699.9174,826814.5011,872798.2384,891129.9663,895643.1361,944865.4193,973254.4643,954514.2731,983110.0829
SUWANNEE,640215.95,679392,698040,796285.7376,819443.1316,815995.3129,861728.8511,905119.3062,922502.8529,925542.5177,974688.9205,1002206.422,981178.236,1008793.632
TAYLOR,205822.69,277688,285310,279247.8059,312581.1336,336866.0134,376793.199,422234.5167,431238.8634,433559.6124,457531.2316,471426.6907,462495.1283,476501.0462
UNION,175201.43,202200,207750,216233.8428,217904.0128,209037.5497,209506.8256,205518.1819,201827.4325,195108.8228,197976.946,196143.4588,185025.9364,183296.8887
VOLUSIA,5411231.46,6195408,6365460,6778170.658,7067956.161,7181905.333,7580907.984,8079057.937,8278489.359,8350418.354,8841101.41,9139575.128,8995912.34,9298826.048
WAKULLA,216573.76,277688,285310,280023.2338,299241.4479,308179.048,320624.926,337829.8504,337938.9363,332770.8006,343948.3173,347106.4339,333527.5483,336561.5191
WALTON,429582.01,617384,634330,566127.8384,629008.7716,679120.5662,753062.3092,853853.224,889874.5967,912937.7438,983092.7987,1033640.135,1034769.897,1087882.296
WASHINGTON,283042.66,307344,315780,365325.4203,388555.1839,395752.274,435391.8794,470648.8437,479012.8545,479914.7599,504686.9148,518204.8573,506617.8493,520143.5235
TOTAL,227531631.3,269613480,277013850,280800000,288600000,287900000,298500000,312300000,319200000,321200000,339300000,350000000,343800000,354700000
