County Name,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
ALACHUA,3196800.19,3445488,3540060,3745059.275,3645900.82,3436803.7,3375505.934,3330393.737,3416775.037,3450674.199,3657905.88,3786017.296,3731060.002,3861406.95
BAKER,276774.92,312736,321320,360814.2705,389584.2649,404730.5508,435778.5424,470456.5046,476536.9719,475160.6753,497307.9246,508196.6124,494467.4687,505251.2352
BAY,1555677.07,1636472,1681390,2064942.43,2257229.07,2408280.691,2651065.616,2928528.518,2988286.525,3001661.967,3164771.268,3257949.655,3193346.046,3287087.756
BRADFORD,469948.81,482584,495830,551919.0149,533987.9489,506820.295,493575.7311,481926.4808,490525.5232,491483.7868,516889.584,530771.8268,518940.4418,532832.7038
BREVARD,5708779.64,6661816,6844670,6940617.028,7029722.198,6881462.964,7033111.642,7231368.635,7382484.927,7419103.052,7826025.108,8060325.259,7904301.006,8140256.212
BROWARD,21143199.16,24878688,25561560,25592027.28,25976436.37,25822178.58,26144517.97,27180517.36,28028851,28452447.96,30316215.06,31539283.14,31241237.56,32498876.05
CALHOUN,189912.86,226464,232680,237480.891,246545.214,245967.3197,255816.574,265909.0052,268655.7063,267193.4827,278930.9145,284307.9067,275918.4854,281213.6245
CHARLOTTE,1380707.4,1558288,1601060,1704231.24,1734110.791,1700069.963,1762846.417,1809036.994,1826080.014,1814508.158,1892513.76,1927261.579,1868709.76,1902859.599
CITRUS,1597924.63,1787448,1836510,1959735.736,1999413.78,1968613.709,2077513.459,2182360.111,2244173.146,2271710.964,2413741.659,2504090.351,2473482.125,2565849.969
CLAY,1461374.77,1711960,1758950,1869946.219,2010433.227,2111249.152,2275935.557,2509460.46,2600073.766,2651903.695,2839035.521,2967600.265,2953517.503,3087005.458
COLLIER,2523160.7,3130056,3215970,3170312.772,3256058.948,3236069.205,3305610.276,3354779.368,3326905.034,3247757.63,3327881.23,3329457.853,3171602.838,3172837.098
COLUMBIA,1254833.28,1501672,1542890,1490544.999,1464949.06,1408743.182,1411933.386,1420030.994,1455827.901,1469227.403,1556356.201,1609720.511,1585227.246,1639442.839
DADE,42735567.8,50827688,52222810,52400226.7,53570262.12,53007256.21,53362935.11,54593810.93,55256875.49,55054903.22,57576688.35,58792084.31,57159787.45,58361447.4
DESOTO,366531.89,450232,462590,486367.6435,519428.9499,543026.1259,584785.0455,621818.9088,618317.9059,605238.421,621845.0111,623820.0316,595848.7752,597690.6837
DIXIE,217182.78,264208,271460,277107.4019,290025.0262,303160.2921,329865.7251,359914.3616,370590.1836,375625.7988,399629.8439,415127.8889,410587.2708,426474.1891
DUVAL,12267430.88,14388552,14783490,14976460.47,15238890.9,15163059.22,15727479.05,16495578.81,16999234.37,17244790.83,18362317.79,19090555.45,18897710.97,19645520.58
ESCAMBIA,3789147.72,4354040,4473550,4706120.795,4856790.416,4899670.255,5109504.296,5385155.087,5506451.448,5542582.681,5855898.565,6040827.124,5933334.622,6120191.022
FLAGLER,938811.91,1070312,1099690,1166890.344,1203650.132,1207362.561,1257091.014,1316600.265,1340468.383,1343463.831,1413306.581,1451671.267,1419710.365,1458125.571
